Plot Title: Hub B,,
#,"Date Time, GMT-08:00","Current, A (LGR S/N: 10459718, SEN S/N: 10282958, LBL: Test-Workstation-power-A)"
440,3/4/22 13:57:22,0.40636
441,3/4/22 13:57:23,0
442,3/4/22 13:57:24,0.40542
443,3/4/22 13:57:25,0
444,3/4/22 13:57:26,0
445,3/4/22 13:57:27,1.02011
446,3/4/22 13:57:28,0
447,3/4/22 13:57:29,0
448,3/4/22 13:57:30,0.42137
449,3/4/22 13:57:31,0
450,3/4/22 13:57:32,0
451,3/4/22 13:57:33,0.41199
452,3/4/22 13:57:34,0.87559
453,3/4/22 13:57:35,0
454,3/4/22 13:57:36,0
455,3/4/22 13:57:37,0.41668
456,3/4/22 13:57:38,0.87465
457,3/4/22 13:57:39,0
458,3/4/22 13:57:40,0.42231
459,3/4/22 13:57:41,0
460,3/4/22 13:57:42,0
461,3/4/22 13:57:43,0.41293
462,3/4/22 13:57:44,0.87653
463,3/4/22 13:57:45,0
464,3/4/22 13:57:46,0
465,3/4/22 13:57:47,0.88404
466,3/4/22 13:57:48,0
467,3/4/22 13:57:49,0
468,3/4/22 13:57:50,1.02668
469,3/4/22 13:57:51,0
470,3/4/22 13:57:52,0
471,3/4/22 13:57:53,0
472,3/4/22 13:57:54,0.88967
473,3/4/22 13:57:55,0
474,3/4/22 13:57:56,0.39979
475,3/4/22 13:57:57,0
476,3/4/22 13:57:58,0.40354
477,3/4/22 13:57:59,0
478,3/4/22 13:58:00,0.39979
479,3/4/22 13:58:01,0.89624
480,3/4/22 13:58:02,0
481,3/4/22 13:58:03,0
482,3/4/22 13:58:04,0.38008
483,3/4/22 13:58:05,0
484,3/4/22 13:58:06,0
485,3/4/22 13:58:07,1.02668
486,3/4/22 13:58:08,0
487,3/4/22 13:58:09,0
488,3/4/22 13:58:10,0
489,3/4/22 13:58:11,0.91407
490,3/4/22 13:58:12,0
491,3/4/22 13:58:13,0.34629
492,3/4/22 13:58:14,0
493,3/4/22 13:58:15,0
494,3/4/22 13:58:16,0.91407
495,3/4/22 13:58:17,0
496,3/4/22 13:58:18,0
497,3/4/22 13:58:19,0
498,3/4/22 13:58:20,0.34066
499,3/4/22 13:58:21,0
500,3/4/22 13:58:22,0.92345
501,3/4/22 13:58:23,0
502,3/4/22 13:58:24,0.33128
503,3/4/22 13:58:25,0
504,3/4/22 13:58:26,0.33034
505,3/4/22 13:58:27,0
506,3/4/22 13:58:28,0.92814
507,3/4/22 13:58:29,0
508,3/4/22 13:58:30,0
509,3/4/22 13:58:31,1.02668
510,3/4/22 13:58:32,0
511,3/4/22 13:58:33,0
512,3/4/22 13:58:34,0.32283
513,3/4/22 13:58:35,0
514,3/4/22 13:58:36,0
515,3/4/22 13:58:37,0.93565
516,3/4/22 13:58:38,0
517,3/4/22 13:58:39,0.30406
518,3/4/22 13:58:40,0
519,3/4/22 13:58:41,0.30876
520,3/4/22 13:58:42,0
521,3/4/22 13:58:43,0
522,3/4/22 13:58:44,0.93847
523,3/4/22 13:58:45,0
524,3/4/22 13:58:46,0.93096
525,3/4/22 13:58:47,0
526,3/4/22 13:58:48,0.30969
527,3/4/22 13:58:49,0
528,3/4/22 13:58:50,0
529,3/4/22 13:58:51,0.93659
530,3/4/22 13:58:52,0
531,3/4/22 13:58:53,0
532,3/4/22 13:58:54,0
533,3/4/22 13:58:55,0
534,3/4/22 13:58:56,0
535,3/4/22 13:58:57,0
536,3/4/22 13:58:58,0
537,3/4/22 13:58:59,0
538,3/4/22 13:59:00,0
539,3/4/22 13:59:01,0
540,3/4/22 13:59:02,0
541,3/4/22 13:59:03,0
542,3/4/22 13:59:04,0
543,3/4/22 13:59:05,0.94504
544,3/4/22 13:59:06,0
545,3/4/22 13:59:07,0
546,3/4/22 13:59:08,0.94973
547,3/4/22 13:59:09,0
548,3/4/22 13:59:10,0.94504
549,3/4/22 13:59:11,0
550,3/4/22 13:59:12,0
551,3/4/22 13:59:13,0
552,3/4/22 13:59:14,0
553,3/4/22 13:59:15,1.02293
554,3/4/22 13:59:16,0
555,3/4/22 13:59:17,0
556,3/4/22 13:59:18,0
557,3/4/22 13:59:19,0
558,3/4/22 13:59:20,0
559,3/4/22 13:59:21,0
560,3/4/22 13:59:22,0
561,3/4/22 13:59:23,0
562,3/4/22 13:59:24,0.96287
563,3/4/22 13:59:25,0
564,3/4/22 13:59:26,0
565,3/4/22 13:59:27,0
566,3/4/22 13:59:28,0
567,3/4/22 13:59:29,0.96662
568,3/4/22 13:59:30,0
569,3/4/22 13:59:31,0
570,3/4/22 13:59:32,0.96005
571,3/4/22 13:59:33,0
572,3/4/22 13:59:34,0
573,3/4/22 13:59:35,0
574,3/4/22 13:59:36,0.96099
575,3/4/22 13:59:37,0
576,3/4/22 13:59:38,0
577,3/4/22 13:59:39,0
578,3/4/22 13:59:40,0
579,3/4/22 13:59:41,0.95817
580,3/4/22 13:59:42,0
581,3/4/22 13:59:43,0
582,3/4/22 13:59:44,0.95254
583,3/4/22 13:59:45,0
584,3/4/22 13:59:46,0
585,3/4/22 13:59:47,0
586,3/4/22 13:59:48,1.02293
587,3/4/22 13:59:49,0
588,3/4/22 13:59:50,0
589,3/4/22 13:59:51,0
590,3/4/22 13:59:52,0
591,3/4/22 13:59:53,0
592,3/4/22 13:59:54,0
593,3/4/22 13:59:55,0.94128
594,3/4/22 13:59:56,0
595,3/4/22 13:59:57,0
596,3/4/22 13:59:58,0.93565
597,3/4/22 13:59:59,0
598,3/4/22 14:00:00,0
599,3/4/22 14:00:01,1.02668
600,3/4/22 14:00:02,0
601,3/4/22 14:00:03,0
602,3/4/22 14:00:04,0
603,3/4/22 14:00:05,0.93284
604,3/4/22 14:00:06,0
605,3/4/22 14:00:07,0.30312
606,3/4/22 14:00:08,0
607,3/4/22 14:00:09,0
608,3/4/22 14:00:10,0.32659
609,3/4/22 14:00:11,0.93284
610,3/4/22 14:00:12,0
611,3/4/22 14:00:13,0
612,3/4/22 14:00:14,0.32377
613,3/4/22 14:00:15,0
614,3/4/22 14:00:16,0
615,3/4/22 14:00:17,0.92533
616,3/4/22 14:00:18,0.91876
617,3/4/22 14:00:19,0
618,3/4/22 14:00:20,0.33597
619,3/4/22 14:00:21,0
620,3/4/22 14:00:22,0
621,3/4/22 14:00:23,0.34254
622,3/4/22 14:00:24,0.91219
623,3/4/22 14:00:25,0
624,3/4/22 14:00:26,0
625,3/4/22 14:00:27,0.91219
626,3/4/22 14:00:28,0
627,3/4/22 14:00:29,0
628,3/4/22 14:00:30,0.38289
629,3/4/22 14:00:31,0
630,3/4/22 14:00:32,0
631,3/4/22 14:00:33,0.90281
632,3/4/22 14:00:34,0.89342
633,3/4/22 14:00:35,0
634,3/4/22 14:00:36,0
635,3/4/22 14:00:37,1.02574
636,3/4/22 14:00:38,0
637,3/4/22 14:00:39,0
638,3/4/22 14:00:40,0
639,3/4/22 14:00:41,0.89811
640,3/4/22 14:00:42,0
641,3/4/22 14:00:43,0.38665
642,3/4/22 14:00:44,0.89342
643,3/4/22 14:00:45,0
644,3/4/22 14:00:46,0
645,3/4/22 14:00:47,0.39228
646,3/4/22 14:00:48,0
647,3/4/22 14:00:49,0
648,3/4/22 14:00:50,0.88028
649,3/4/22 14:00:51,0
650,3/4/22 14:00:52,0
651,3/4/22 14:00:53,0.88404
652,3/4/22 14:00:54,0
653,3/4/22 14:00:55,0.88404
654,3/4/22 14:00:56,0
655,3/4/22 14:00:57,0.42137
656,3/4/22 14:00:58,0.87371
657,3/4/22 14:00:59,0
658,3/4/22 14:01:00,0.42137
659,3/4/22 14:01:01,0
660,3/4/22 14:01:02,0
661,3/4/22 14:01:03,0.42231
662,3/4/22 14:01:04,0
663,3/4/22 14:01:05,0
664,3/4/22 14:01:06,0.43357
665,3/4/22 14:01:07,0
666,3/4/22 14:01:08,0.42325
667,3/4/22 14:01:09,0
668,3/4/22 14:01:10,0.43076
669,3/4/22 14:01:11,0
670,3/4/22 14:01:12,0
671,3/4/22 14:01:13,0.427
672,3/4/22 14:01:14,0.87747
673,3/4/22 14:01:15,0
674,3/4/22 14:01:16,0
675,3/4/22 14:01:17,0.87653
676,3/4/22 14:01:18,0
677,3/4/22 14:01:19,0
678,3/4/22 14:01:20,0.86902
679,3/4/22 14:01:21,0
680,3/4/22 14:01:22,0
681,3/4/22 14:01:23,1.02387
682,3/4/22 14:01:24,0
683,3/4/22 14:01:25,0
684,3/4/22 14:01:26,0
685,3/4/22 14:01:27,1.02668
686,3/4/22 14:01:28,0
687,3/4/22 14:01:29,0
688,3/4/22 14:01:30,0.48425
689,3/4/22 14:01:31,0
690,3/4/22 14:01:32,0
691,3/4/22 14:01:33,0.48519
692,3/4/22 14:01:34,0.83805
693,3/4/22 14:01:35,0
694,3/4/22 14:01:36,0
695,3/4/22 14:01:37,0.51053
696,3/4/22 14:01:38,0
697,3/4/22 14:01:39,0
698,3/4/22 14:01:40,0.84087
699,3/4/22 14:01:41,0
700,3/4/22 14:01:42,0
701,3/4/22 14:01:43,0.83711
702,3/4/22 14:01:44,0.46079
703,3/4/22 14:01:45,0
704,3/4/22 14:01:46,0
705,3/4/22 14:01:47,0.83805
706,3/4/22 14:01:48,0
707,3/4/22 14:01:49,0
708,3/4/22 14:01:50,1.02293
709,3/4/22 14:01:51,0
710,3/4/22 14:01:52,0
711,3/4/22 14:01:53,0
712,3/4/22 14:01:54,1.02293
713,3/4/22 14:01:55,0
714,3/4/22 14:01:56,0
715,3/4/22 14:01:57,0.52179
716,3/4/22 14:01:58,0
717,3/4/22 14:01:59,0
718,3/4/22 14:02:00,0.54525
719,3/4/22 14:02:01,0.82304
720,3/4/22 14:02:02,0
721,3/4/22 14:02:03,0
722,3/4/22 14:02:04,0.5537
723,3/4/22 14:02:05,0
724,3/4/22 14:02:06,0
725,3/4/22 14:02:07,0.81553
726,3/4/22 14:02:08,0
727,3/4/22 14:02:09,0.5734
728,3/4/22 14:02:10,0
729,3/4/22 14:02:11,0
730,3/4/22 14:02:12,0.80614
731,3/4/22 14:02:13,0
732,3/4/22 14:02:14,0.793
733,3/4/22 14:02:15,0
734,3/4/22 14:02:16,0
735,3/4/22 14:02:17,1.02574
736,3/4/22 14:02:18,0
737,3/4/22 14:02:19,0
738,3/4/22 14:02:20,0
739,3/4/22 14:02:21,0.77987
740,3/4/22 14:02:22,0
741,3/4/22 14:02:23,0.62783
742,3/4/22 14:02:24,0.76485
743,3/4/22 14:02:25,0
744,3/4/22 14:02:26,0
745,3/4/22 14:02:27,0.64379
746,3/4/22 14:02:28,0
747,3/4/22 14:02:29,0
748,3/4/22 14:02:30,0.66537
749,3/4/22 14:02:31,0
750,3/4/22 14:02:32,0
751,3/4/22 14:02:33,0.75734
752,3/4/22 14:02:34,0.74608
753,3/4/22 14:02:35,0
754,3/4/22 14:02:36,0
755,3/4/22 14:02:37,0.74796
756,3/4/22 14:02:38,0
757,3/4/22 14:02:39,0.68883
758,3/4/22 14:02:40,0
759,3/4/22 14:02:41,0
760,3/4/22 14:02:42,0
761,3/4/22 14:02:43,1.02481
762,3/4/22 14:02:44,0
763,3/4/22 14:02:45,0
764,3/4/22 14:02:46,0
765,3/4/22 14:02:47,1.02011
766,3/4/22 14:02:48,0
767,3/4/22 14:02:49,0
768,3/4/22 14:02:50,0
769,3/4/22 14:02:51,0.71793
770,3/4/22 14:02:52,0
771,3/4/22 14:02:53,0
772,3/4/22 14:02:54,1.02668
773,3/4/22 14:02:55,0
774,3/4/22 14:02:56,0
775,3/4/22 14:02:57,0.75922
776,3/4/22 14:02:58,0
777,3/4/22 14:02:59,0
778,3/4/22 14:03:00,0.68133
779,3/4/22 14:03:01,0
780,3/4/22 14:03:02,0
781,3/4/22 14:03:03,0.6757
782,3/4/22 14:03:04,0
783,3/4/22 14:03:05,0.67007
784,3/4/22 14:03:06,0
785,3/4/22 14:03:07,0.6635
786,3/4/22 14:03:08,0
787,3/4/22 14:03:09,0
788,3/4/22 14:03:10,1.02387
789,3/4/22 14:03:11,0
790,3/4/22 14:03:12,0
791,3/4/22 14:03:13,0
792,3/4/22 14:03:14,0.63159
793,3/4/22 14:03:15,0
794,3/4/22 14:03:16,0.85025
795,3/4/22 14:03:17,0
796,3/4/22 14:03:18,0
797,3/4/22 14:03:19,0.61657
798,3/4/22 14:03:20,0.87277
799,3/4/22 14:03:21,0
800,3/4/22 14:03:22,0
801,3/4/22 14:03:23,0.59874
802,3/4/22 14:03:24,0
803,3/4/22 14:03:25,0
804,3/4/22 14:03:26,1.02574
805,3/4/22 14:03:27,0
806,3/4/22 14:03:28,0
807,3/4/22 14:03:29,0
