PCS,Baseline,Time,Power,Cycle
HeatedBlanket,FALSE,1/1/00 0:27:00,119,
HeatedBlanket,FALSE,1/1/00 0:27:05,0,
HeatedBlanket,FALSE,1/1/00 0:27:10,60.6,
HeatedBlanket,FALSE,1/1/00 0:27:15,59.7,
HeatedBlanket,FALSE,1/1/00 0:27:20,116.3,
HeatedBlanket,FALSE,1/1/00 0:27:25,0,
HeatedBlanket,FALSE,1/1/00 0:27:30,55.2,
HeatedBlanket,FALSE,1/1/00 0:27:35,0,
HeatedBlanket,FALSE,1/1/00 0:27:40,59.4,
HeatedBlanket,FALSE,1/1/00 0:27:45,0,
HeatedBlanket,FALSE,1/1/00 0:27:50,7.4,
HeatedBlanket,FALSE,1/1/00 0:27:55,0,
HeatedBlanket,FALSE,1/1/00 0:28:00,68.3,
HeatedBlanket,FALSE,1/1/00 0:28:05,59.8,
HeatedBlanket,FALSE,1/1/00 0:28:10,69.6,
HeatedBlanket,FALSE,1/1/00 0:28:15,0,
HeatedBlanket,FALSE,1/1/00 0:28:20,59.9,
HeatedBlanket,FALSE,1/1/00 0:28:25,60,
HeatedBlanket,FALSE,1/1/00 0:28:30,72,
HeatedBlanket,FALSE,1/1/00 0:28:35,46.9,
HeatedBlanket,FALSE,1/1/00 0:28:40,13.8,
HeatedBlanket,FALSE,1/1/00 0:28:45,14.3,
HeatedBlanket,FALSE,1/1/00 0:28:50,15.1,
HeatedBlanket,FALSE,1/1/00 0:28:55,103.6,
HeatedBlanket,FALSE,1/1/00 0:29:00,76.5,
HeatedBlanket,FALSE,1/1/00 0:29:05,42.1,
HeatedBlanket,FALSE,1/1/00 0:29:10,59.6,
HeatedBlanket,FALSE,1/1/00 0:29:15,100,
HeatedBlanket,FALSE,1/1/00 0:29:20,0,
HeatedBlanket,FALSE,1/1/00 0:29:25,59.6,
HeatedBlanket,FALSE,1/1/00 0:29:30,0,
HeatedBlanket,FALSE,1/1/00 0:29:35,38.5,
HeatedBlanket,FALSE,1/1/00 0:29:40,22,
HeatedBlanket,FALSE,1/1/00 0:29:45,59.6,
HeatedBlanket,FALSE,1/1/00 0:29:50,0,
HeatedBlanket,FALSE,1/1/00 0:29:55,59.9,
HeatedBlanket,FALSE,1/1/00 0:30:00,0,
HeatedBlanket,FALSE,1/1/00 0:30:05,84.5,
HeatedBlanket,FALSE,1/1/00 0:30:10,0,
HeatedBlanket,FALSE,1/1/00 0:30:15,85.5,
HeatedBlanket,FALSE,1/1/00 0:30:20,0,
HeatedBlanket,FALSE,1/1/00 0:30:25,26.9,
HeatedBlanket,FALSE,1/1/00 0:30:30,60,
HeatedBlanket,FALSE,1/1/00 0:30:35,86.6,
HeatedBlanket,FALSE,1/1/00 0:30:40,32,
HeatedBlanket,FALSE,1/1/00 0:30:45,90.8,
HeatedBlanket,FALSE,1/1/00 0:30:50,0,
HeatedBlanket,FALSE,1/1/00 0:30:55,29.5,
HeatedBlanket,FALSE,1/1/00 0:31:00,88.8,
HeatedBlanket,FALSE,1/1/00 0:31:05,0,
HeatedBlanket,FALSE,1/1/00 0:31:10,28,
HeatedBlanket,FALSE,1/1/00 0:31:15,0,
HeatedBlanket,FALSE,1/1/00 0:31:20,29.8,
HeatedBlanket,FALSE,1/1/00 0:31:25,33.3,
HeatedBlanket,FALSE,1/1/00 0:31:30,85.6,
HeatedBlanket,FALSE,1/1/00 0:31:35,0,
HeatedBlanket,FALSE,1/1/00 0:31:40,59.8,
HeatedBlanket,FALSE,1/1/00 0:31:45,35.9,
HeatedBlanket,FALSE,1/1/00 0:31:50,96.7,
HeatedBlanket,FALSE,1/1/00 0:31:55,37.6,
HeatedBlanket,FALSE,1/1/00 0:32:00,38.4,
HeatedBlanket,FALSE,1/1/00 0:32:05,0,
HeatedBlanket,FALSE,1/1/00 0:32:10,60,
HeatedBlanket,FALSE,1/1/00 0:32:15,2,
HeatedBlanket,FALSE,1/1/00 0:32:20,77.6,
HeatedBlanket,FALSE,1/1/00 0:32:25,17.5,
HeatedBlanket,FALSE,1/1/00 0:32:30,76.4,
HeatedBlanket,FALSE,1/1/00 0:32:35,0,
HeatedBlanket,FALSE,1/1/00 0:32:40,17,
HeatedBlanket,FALSE,1/1/00 0:32:45,44.9,
HeatedBlanket,FALSE,1/1/00 0:32:50,615,
HeatedBlanket,FALSE,1/1/00 0:32:55,0,
HeatedBlanket,FALSE,1/1/00 0:33:00,47.8,
HeatedBlanket,FALSE,1/1/00 0:33:05,0,
HeatedBlanket,FALSE,1/1/00 0:33:10,62,
HeatedBlanket,FALSE,1/1/00 0:33:15,2,
HeatedBlanket,FALSE,1/1/00 0:33:20,69.5,
HeatedBlanket,FALSE,1/1/00 0:33:25,0,
HeatedBlanket,FALSE,1/1/00 0:33:30,51.7,
HeatedBlanket,FALSE,1/1/00 0:33:35,0,
HeatedBlanket,FALSE,1/1/00 0:33:40,113.1,
HeatedBlanket,FALSE,1/1/00 0:33:45,5.9,
HeatedBlanket,FALSE,1/1/00 0:33:50,1179,
HeatedBlanket,FALSE,1/1/00 0:33:55,0,
HeatedBlanket,FALSE,1/1/00 0:34:00,115.8,
HeatedBlanket,FALSE,1/1/00 0:34:05,0,
