Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/06  23:00:00,12540895.402920429,4262786.538241955,4262786.538241955,4262786.538241955,8076886.521076115,0.0 
 02/06  24:00:00,14817650.745660745,3276627.552965166,3276627.552965166,3276627.552965166,9646639.001402581,1700927.087530573 
 02/07  01:00:00,13604591.404844604,2519341.8750856025,2519341.8750856025,2519341.8750856025,10895005.628688963,0.0 
 02/07  02:00:00,13903149.33761142,2300485.626558334,2300485.626558334,2300485.626558334,11412419.809983045,0.0 
 02/07  03:00:00,14745971.807635492,2226600.0926204654,2226600.0926204654,2226600.0926204654,12329127.813944986,0.0 
 02/07  04:00:00,17255506.10439396,2171740.4070940726,2171740.4070940726,2171740.4070940726,13244185.459538598,1649336.3366912503 
 02/07  05:00:00,16023593.057899695,2335718.210080423,2335718.210080423,2335718.210080423,13493346.676492723,0.0 
 02/07  06:00:00,17090397.153894667,2902111.397117286,2902111.397117286,2902111.397117286,13986795.646283992,0.0 
 02/07  07:00:00,18909415.96274138,3490045.529346395,3490045.529346395,3490045.529346395,13603534.342607804,1800841.144889378 
 02/07  08:00:00,19533018.743882895,3872409.4070758065,3872409.4070758065,3872409.4070758065,11956866.950770408,3690354.041485073 
 02/07  09:00:00,16577492.409095155,3436548.288166884,3436548.288166884,3436548.288166884,11276484.975668008,1858568.2736575573 
 02/07  10:00:00,14037213.713574445,3287629.4627914913,3287629.4627914913,3287629.4627914913,8899026.268802274,1846541.4786151983 
 02/07  11:00:00,11050142.784966715,3359522.254572048,3359522.254572048,3359522.254572048,5867062.693338905,1819541.3336902787 
 02/07  12:00:00,9165632.890053572,3405817.7973429887,3405817.7973429887,3405817.7973429887,3964746.919941304,1791051.669403798 
 02/07  13:00:00,7915771.408102564,3343416.5845005065,3343416.5845005065,3343416.5845005065,2798651.4351554643,1769686.8850811105 
 02/07  14:00:00,6176725.789879934,3277253.218523652,3277253.218523652,3277253.218523652,1140186.7218378999,1755269.3461528993 
 02/07  15:00:00,5173622.342786335,3272159.2094632606,3272159.2094632606,3272159.2094632606,154285.71428571438,1743160.9156718792 
