Block,Random.Number,Chamber.SetPoint,Clothing,Bedding,Posture,Emergency.Blanket,Bed.Type,PCS,Repetition,Reference,Baseline,Repeated.2,Repeated.3,Skip,Notes,Start.Time,End.Time,Comments,IR.Image
2,0.453354315,28,Nude,None,Starfish,FALSE,Slat,None,3,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/9/2022 11:58,1/9/2022 12:46,,IR_5825-IR_5827
2,0.690351385,28,Nude,None,Log,FALSE,Slat,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/9/2022 14:47,1/9/2022 17:09,,IR_5830-IR_5833
2,0.467180351,28,Light,Light,Log,FALSE,Mattress,PedestalFanHigh,1,FALSE,FALSE,TRUE,TRUE,FALSE,"Pedestal fan, baseline 1",1/9/2022 17:35,1/9/2022 21:28,,IR_5834-IR_5840
2,0.171117928,28,Light,Light,Log,FALSE,Slat,None,1,FALSE,FALSE,TRUE,FALSE,FALSE,"Slat bed, baseline",1/9/2022 21:45,1/9/2022 23:50,,
2,0.413526119,28,Light,Light,Log,FALSE,Slat,None,2,FALSE,FALSE,TRUE,FALSE,FALSE,"Slat bed, baseline",1/10/2022 9:00,1/10/2022 12:32,,IR_5842-IR_5843
2,0.993942188,28,Nude,None,Starfish,FALSE,Slat,None,2,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/10/2022 12:44,1/10/2022 13:56,,IR_5844-IR_5849
2,0.118259319,28,Nude,None,Starfish,FALSE,Slat,None,1,FALSE,FALSE,TRUE,TRUE,FALSE,"Slat bed, all passive",1/10/2022 15:22,1/10/2022 18:22,,
2,0.936441219,28,Nude,None,Starfish,FALSE,Slat,None,4,FALSE,FALSE,TRUE,TRUE,FALSE,"Slat bed, all passive",1/10/2022 19:28,1/10/2022 22:28,,
2,0.519998441,28,Nude,None,Starfish,FALSE,Mattress,None,1,FALSE,FALSE,TRUE,FALSE,FALSE,All passive strategies 1,1/11/2022 12:05,1/11/2022 16:27,,IR_5850-IR_5854
3,0.244020675,24,Nude,Light,Log,FALSE,Slat,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Clo value of light bedding,1/11/2022 20:10,1/12/2022 1:12,,
3,0.020669977,24,Nude,None,Log,FALSE,Mattress,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Clo value of mattress,1/12/2022 12:09,1/12/2022 15:00,,
3,0.18070236,24,Heavy,None,Log,FALSE,Slat,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Clo value of heavy clothing,1/17/2022 11:04,1/17/2022 14:04,,IR_5855-IR_5857
3,0.420970301,24,Nude,Heavy,Log,FALSE,Slat,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Clo value of heavy bedding,1/17/2022 14:27,1/17/2022 3:43,,IR_5859-IR_5863
3,0.371030424,24,Light,None,Log,FALSE,Slat,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Clo value of light clothing,1/17/2022 15:55,1/17/2022 5:03,,IR_5864-IR_5867
4,0.088827799,28,Nude,None,Starfish,FALSE,Slat,None,5,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/18/2022 13:00,1/18/2022 17:25,,IR_5868-IR_5873
4,0.393212182,28,Nude,None,Starfish,FALSE,Mattress,None,2,FALSE,FALSE,TRUE,FALSE,FALSE,All passive strategies 2,1/18/2022 17:39,1/18/2022 20:39,,IR_5874-IR_5877
4,0.693436254,28,Light,None,Starfish,FALSE,Mattress,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Posture in isolation,1/18/2022 20:44,1/18/2022 23:39,,
4,0.379980887,28,Nude,None,Log,FALSE,Slat,None,3,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/19/2022 11:59,1/18/2022 13:37,,
4,,28,Light,Light,Log,FALSE,Mattress,None,5,FALSE,TRUE,TRUE,TRUE,FALSE,Cooling baseline 5,1/20/2022 8:26,1/20/2022 12:26,,
4,0.945384638,28,Light,Light,Log,FALSE,Mattress,HydropoweredMP,1,FALSE,FALSE,TRUE,FALSE,FALSE,"Hydropower mattress pad, reference",1/20/2022 15:20,1/20/2022 17:42,mattress pad temperature of 16 C,IR_5883-IR_5890
4,0.64481718,28,Light,Light,Log,FALSE,Mattress,None,4,FALSE,TRUE,TRUE,TRUE,FALSE,Cooling baseline 4,1/21/2022 8:30,1/21/2022 11:38,,
4,0.38391787,28,Light,None,Log,FALSE,Mattress,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Bedding in isolation,1/21/2022 14:14,1/21/2022 16:28,,
4,0.778803645,28,Nude,None,Starfish,FALSE,Slat,None,6,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/21/2022 17:28,1/21/2022 22:18,,
4,0.107450447,28,Nude,None,Starfish,FALSE,Slat,None,7,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/22/2022 10:23,1/22/2022 13:28,,
4,0.016730251,28,Nude,None,Starfish,FALSE,Mattress,HydropoweredMP,1,FALSE,FALSE,TRUE,FALSE,FALSE,"Hydropower mattress pad, all passive",1/22/2022 13:52,1/22/2022 22:45,mattress pad temperature of 18 C,
4,0.76337192,28,Light,Light,Log,FALSE,Mattress,HydropoweredMP,2,FALSE,FALSE,TRUE,FALSE,FALSE,"Hydropower mattress pad, baseline",1/23/2022 15:08,1/23/2022 16:59,mattress pad temperature (high),IR_5973-IR_5975
4,0.096939193,28,Nude,None,Starfish,FALSE,Mattress,PedestalFanHigh,1,FALSE,FALSE,TRUE,TRUE,FALSE,"Pedestal fan, all passive",1/23/2022 18:54,1/24/2022 2:06,,
4,0.614375375,28,Nude,None,Starfish,FALSE,Mattress,PedestalFanHigh,2,FALSE,FALSE,TRUE,TRUE,FALSE,"Pedestal fan, all passive",1/24/2022 8:28,1/24/2022 13:08,,IR_5895-IR_5904
4,0.323094325,28,Nude,Light,Log,FALSE,Mattress,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Clothing in isolation,1/24/2022 16:45,1/24/2022 20:49,,IR_5905-IR_5908
4,0.546550193,28,Nude,None,Starfish,FALSE,Mattress,CeilingFanHigh,1,FALSE,FALSE,TRUE,TRUE,TRUE,"Ceiling fan, all passive",1/25/2022 12:33,1/25/2022 13:56,skip until can remove fan diffuser,
4,0.691768141,28,Light,Light,Log,FALSE,Mattress,CeilingFanHigh,1,FALSE,FALSE,TRUE,TRUE,TRUE,"Ceiling fan high, baseline",1/25/2022 12:40,1/25/2022 14:30,skipped until fan diffuser removed on 1/24/2022,IR_5909-IR_5912
4,0.384253619,28,Light,Light,Log,FALSE,Mattress,CeilingFanLow,1,FALSE,FALSE,TRUE,TRUE,TRUE,"Ceiling fan low, baseline",1/25/2022 19:25,1/25/2022 21:16,added case on 1/25/2022,
4,0.164251825,28,Nude,None,Starfish,FALSE,Mattress,CeilingFanLow,1,FALSE,FALSE,TRUE,TRUE,FALSE,"Ceiling fan, all passive",1/25/2022 21:25,1/26/2022 12:30,added case on 1/25/2022,IR_5913-IR_5916
4,0.514812627,28,Nude,None,Log,FALSE,Slat,None,2,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/26/2022 14:14,1/26/2022 15:24,,
4,,28,Nude,None,Starfish,FALSE,Mattress,PedestalFanLow,1,FALSE,FALSE,TRUE,FALSE,FALSE,,1/26/2022 15:39,1/26/2022 20:17,,
4,,28,Nude,None,Starfish,FALSE,Mattress,PedestalFanHigh,4,FALSE,FALSE,TRUE,TRUE,FALSE,,1/26/2022 20:20,1/26/2022 21:46,,
4,0.179387364,28,Light,Light,Log,FALSE,Mattress,None,3,FALSE,TRUE,TRUE,TRUE,FALSE,Cooling baseline 3,1/27/2022 12:05,1/27/2022 13:38,,IR_5921-IR_5924
4,0.586917946,28,Light,Light,Log,FALSE,Mattress,PedestalFanHigh,2,FALSE,FALSE,TRUE,TRUE,FALSE,"Pedestal fan high, baseline 2",1/27/2022 13:42,1/27/2022 14:40,,IR_5924-IR_5932
4,0.036201664,28,Light,Light,Log,FALSE,Mattress,PedestalFanLow,1,FALSE,FALSE,TRUE,FALSE,FALSE,"Pedestal fan low, baseline 2",1/27/2022 14:45,1/27/2022 16:45,,IR_5933-IR_5937
4,0.652187737,28,Light,Light,Log,FALSE,Mattress,CeilingFanLow,2,FALSE,FALSE,TRUE,TRUE,TRUE,Ceiling fan low baseline 2,1/27/2022 16:50,1/27/2022 18:20,,IR_5939-IR_5942
4,0.737082849,28,Light,Light,Log,FALSE,Mattress,CeilingFanHigh,2,FALSE,FALSE,TRUE,TRUE,TRUE,"Ceiling fan high, baseline 2",1/29/2022 15:19,1/29/2022 4:38,,IR_5944-IR_5949
