Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/06  15:00:00,11091447.470079971,3272159.2094632606,3272159.2094632606,3272159.2094632606,6072164.606255572,1743107.150995655 
 02/06  16:00:00,11756196.915357241,3549357.552769049,3549357.552769049,3549357.552769049,6462569.047927748,1737308.375493607 
 02/06  17:00:00,12747103.427696764,4479188.816479392,4479188.816479392,4479188.816479392,6500513.375968107,1752406.289351462 
 02/06  18:00:00,13716741.214410707,5624286.233621349,5624286.233621349,5624286.233621349,6294594.3998815175,1776974.7634073328 
 02/06  19:00:00,14485391.65344018,6045788.3062472865,6045788.3062472865,6045788.3062472865,6418659.372640683,1804726.6850520486 
 02/06  20:00:00,15095994.351333918,5971945.160957614,5971945.160957614,5971945.160957614,7093534.05924331,1811255.0360529239 
 02/06  21:00:00,15696759.764201598,5899533.255808762,5899533.255808762,5899533.255808762,7781774.183808297,1796192.2295044693 
 02/06  22:00:00,15545484.494967937,5386254.039457358,5386254.039457358,5386254.039457358,8172840.590887738,1774724.612270228 
 02/06  23:00:00,13734743.387958795,4262786.538241955,4262786.538241955,4262786.538241955,9270734.506114483,0.0 
 02/06  24:00:00,15377909.45627066,3276627.552965166,3276627.552965166,3276627.552965166,10206817.299809072,1701007.4997339945 
 02/07  01:00:00,13900779.93483899,2519341.8750856025,2519341.8750856025,2519341.8750856025,11191194.15868335,0.0 
 02/07  02:00:00,14307267.374708384,2300485.626558334,2300485.626558334,2300485.626558334,11816537.84708001,0.0 
 02/07  03:00:00,14083942.422106396,2226600.0926204654,2226600.0926204654,2226600.0926204654,11667098.428415893,0.0 
 02/07  04:00:00,16099769.225411672,2171740.4070940726,2171740.4070940726,2171740.4070940726,12088126.161926374,1649658.7553211846 
 02/07  05:00:00,14703934.09491197,2335718.210080423,2335718.210080423,2335718.210080423,12173687.713504996,0.0 
 02/07  06:00:00,14312734.091016982,2902111.397117286,2902111.397117286,2902111.397117286,11209132.583406309,0.0 
 02/07  07:00:00,15602770.905203363,3490045.529346395,3490045.529346395,3490045.529346395,10296818.21582902,1800912.2141301457 
