Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/11  24:00:00,-6.058333333333334,22.220226573790782,-3.1818085613817693,24918243.363154434,3228431.3064444675,3228431.3064444675,3228431.3064444675,21496354.952947542,0.0 
 02/12  01:00:00,-5.6000000000000005,22.220318798055914,-2.7016195967734844,25155273.813194074,2498479.0097388276,2498479.0097388276,2498479.0097388276,22466550.902385205,0.0 
 02/12  02:00:00,-5.25,22.22039419630443,-2.11889768717227,26795308.330998927,2287908.203727021,2287908.203727021,2287908.203727021,22664121.418042954,1653034.8081589143 
 02/12  03:00:00,-5.0,22.22038259125831,-2.365978369476232,26067749.98462799,2218387.455766968,2218387.455766968,2218387.455766968,23659118.62779098,0.0 
 02/12  04:00:00,-5.3500000000000005,22.22037760132086,-2.9475233763720596,26134183.285883993,2167160.80380385,2167160.80380385,2167160.80380385,23776778.581010103,0.0 
 02/12  05:00:00,-5.25,22.220298016241628,-3.0955872794443837,26840251.31863279,2326991.86639299,2326991.86639299,2326991.86639299,24318731.28091324,0.0 
 02/12  06:00:00,-5.3500000000000005,22.220314273133056,-3.0882180307728047,29535237.039224863,2888368.680950925,2888368.680950925,2888368.680950925,24740797.01705756,1704581.2307229887 
 02/12  07:00:00,-5.6000000000000005,22.2203578259121,-2.924770893205343,28609949.935608387,3455726.295687276,3455726.295687276,3455726.295687276,23342767.892077323,1796460.801945987 
 02/12  08:00:00,-5.6000000000000005,22.220350179161088,-2.9867335526295045,27970109.51547323,3804342.957438114,3804342.957438114,3804342.957438114,22316279.073169038,1836099.1403144686 
 02/12  09:00:00,-3.6166666666666667,22.221170667349877,-1.6675545771981202,27811189.69578617,3331560.1762823085,3331560.1762823085,3331560.1762823085,22628915.71320574,1844822.9346954199 
 02/12  10:00:00,-1.5583333333333336,22.22082993295959,0.44604779176128,26120376.064823948,3145052.4172653225,3145052.4172653225,3145052.4172653225,21140865.474380095,1830441.66981305 
 02/12  11:00:00,-0.1083333333333334,22.221416838795648,2.27081912823098,21988042.361640535,3201316.809840188,3201316.809840188,3201316.809840188,16978272.289335772,1804436.7590990951 
