Time,Unit,Value
11/25/2021 8:34,C,28.013
11/25/2021 8:39,C,28.075
11/25/2021 8:44,C,28.075
11/25/2021 8:49,C,28.075
11/25/2021 8:54,C,28.075
11/25/2021 8:59,C,28.075
11/25/2021 9:04,C,28.075
11/25/2021 9:09,C,28.075
11/25/2021 9:14,C,28.075
11/25/2021 9:19,C,28.075
11/25/2021 9:24,C,28.075
11/25/2021 9:29,C,28.075
11/25/2021 9:34,C,28.075
11/25/2021 9:39,C,28.075
11/25/2021 9:44,C,28.075
11/25/2021 9:49,C,28.075
11/25/2021 9:54,C,28.075
11/25/2021 9:59,C,28.075
11/25/2021 10:04,C,28.075
11/25/2021 10:09,C,28.075
11/25/2021 10:14,C,28.075
11/25/2021 10:19,C,28.075
11/25/2021 10:24,C,28.075
11/25/2021 10:29,C,28.075
11/25/2021 10:34,C,28.075
11/25/2021 10:39,C,28.075
11/25/2021 10:44,C,28.075
11/25/2021 10:49,C,28.075
11/25/2021 10:54,C,28.075
11/25/2021 10:59,C,28.075
11/25/2021 11:04,C,28.075
11/25/2021 11:09,C,28.075
11/25/2021 11:14,C,28.075
11/25/2021 11:19,C,28.075
11/25/2021 11:24,C,28.075
11/25/2021 11:29,C,28.075
11/25/2021 11:34,C,28.075
11/25/2021 11:39,C,28.075
11/25/2021 11:44,C,28.013
11/25/2021 11:49,C,28.013
11/25/2021 11:54,C,28.075
11/25/2021 11:59,C,28.075
11/25/2021 12:04,C,28.075
11/25/2021 12:09,C,28.075
11/25/2021 12:14,C,28.013
11/25/2021 12:19,C,27.95
11/25/2021 12:24,C,28.013
11/25/2021 12:29,C,28.075
11/25/2021 12:34,C,28.075
11/25/2021 12:39,C,28.075
11/25/2021 12:44,C,28.013
11/25/2021 12:49,C,28.013
11/25/2021 12:54,C,28.013
11/25/2021 12:59,C,28.075
11/25/2021 13:04,C,28.075
11/25/2021 13:09,C,28.075
11/25/2021 13:14,C,28.013
11/25/2021 13:19,C,28.013
11/25/2021 13:24,C,28.013
11/25/2021 13:29,C,28.075
11/25/2021 13:34,C,28.075
11/25/2021 13:39,C,28.013
11/25/2021 13:44,C,27.95
11/25/2021 13:49,C,27.95
11/25/2021 13:54,C,28.013
11/25/2021 13:59,C,28.075
11/25/2021 14:04,C,28.013
11/25/2021 14:09,C,27.95
11/25/2021 14:14,C,27.95
11/25/2021 14:19,C,28.075
11/25/2021 14:24,C,28.075
11/25/2021 14:29,C,28.075
11/25/2021 14:34,C,28.075
11/25/2021 14:39,C,28.075
11/25/2021 14:44,C,28.013
11/25/2021 14:49,C,28.013
11/25/2021 14:54,C,28.013
11/25/2021 14:59,C,28.075
11/25/2021 15:04,C,28.075
11/25/2021 15:09,C,28.075
11/25/2021 15:14,C,28.075
11/25/2021 15:19,C,28.138
11/25/2021 15:24,C,28.075
11/25/2021 15:29,C,28.013
11/25/2021 15:34,C,28.013
11/25/2021 15:39,C,28.013
11/25/2021 15:44,C,28.013
11/25/2021 15:49,C,28.013
11/25/2021 15:54,C,28.013
11/25/2021 15:59,C,28.013
11/25/2021 16:04,C,28.013
11/25/2021 16:09,C,28.013
11/25/2021 16:14,C,28.013
11/25/2021 16:19,C,28.013
11/25/2021 16:24,C,28.013
11/25/2021 16:29,C,27.95
11/25/2021 16:34,C,28.013
11/25/2021 16:39,C,28.013
11/25/2021 16:44,C,28.013
11/25/2021 16:49,C,28.013
11/25/2021 16:54,C,28.013
11/25/2021 16:59,C,28.013
11/25/2021 17:04,C,28.013
11/25/2021 17:09,C,28.013
11/25/2021 17:14,C,27.95
11/25/2021 17:19,C,27.95
11/25/2021 17:24,C,27.95
11/25/2021 17:29,C,27.95
11/25/2021 17:34,C,27.888
11/25/2021 17:39,C,27.888
11/25/2021 17:44,C,27.888
11/25/2021 17:49,C,27.826
11/25/2021 17:54,C,27.826
11/25/2021 17:59,C,27.826
11/25/2021 18:04,C,27.763
11/25/2021 18:09,C,27.763
11/25/2021 18:14,C,27.763
11/25/2021 18:19,C,27.826
