Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/15  11:00:00,22953343.778610818,3201316.809840188,3201316.809840188,3201316.809840188,16866418.875521794,2881591.5898833526 
 02/15  12:00:00,17759264.024819516,3245056.7517732778,3245056.7517732778,3245056.7517732778,13589339.301441979,920851.4682387755 
 02/15  13:00:00,16950311.18248163,3197289.398662933,3197289.398662933,3197289.398662933,12180229.288038496,1568775.9924147215 
 02/15  14:00:00,16668568.358631354,3143544.016284607,3143544.016284607,3143544.016284607,11771279.67817619,1749728.1608050743 
 02/15  15:00:00,15518697.587717673,3152610.4832543777,3152610.4832543777,3152610.4832543777,10623296.084654462,1738774.516443351 
 02/15  16:00:00,14615831.628862683,3436226.8211706067,3436226.8211706067,3436226.8211706067,9813802.743102757,1358840.1254224838 
 02/15  17:00:00,15206789.315185435,4368891.063756271,4368891.063756271,4368891.063756271,10445207.930842726,377695.37468864047 
 02/15  18:00:00,17669680.607151538,5514884.4344747625,5514884.4344747625,5514884.4344747625,10361472.345774572,1772438.0094016918 
 02/15  19:00:00,18526614.941842284,5936377.747743254,5936377.747743254,5936377.747743254,10575076.670208912,1798943.2343899605 
 02/15  20:00:00,19631289.718030266,5860851.394397255,5860851.394397255,5860851.394397255,11745802.747824416,1805375.4807285229 
 02/15  21:00:00,20124305.831299514,5788324.826793473,5788324.826793473,5788324.826793473,12326237.816396145,1790483.093029824 
 02/15  22:00:00,20441166.523915395,5275040.848512863,5275040.848512863,5275040.848512863,13183907.84498125,1770552.5780686731 
 02/15  23:00:00,21612646.549504444,4175767.1653783405,4175767.1653783405,4175767.1653783405,15499203.261992898,1736453.7785308487 
 02/15  24:00:00,20570493.274821296,3228431.3064444675,3228431.3064444675,3228431.3064444675,17148604.8646144,0.0 
 02/16  01:00:00,22156156.31827238,2498479.0097388276,2498479.0097388276,2498479.0097388276,17797021.407954812,1670411.9995087003 
 02/16  02:00:00,20319073.511265762,2287908.203727021,2287908.203727021,2287908.203727021,17840921.406468697,0.0 
 02/16  03:00:00,20483308.163398337,2218387.455766968,2218387.455766968,2218387.455766968,18074676.80656133,0.0 
 02/16  04:00:00,20491065.275686845,2167160.80380385,2167160.80380385,2167160.80380385,18133660.57081296,0.0 
