Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/03  13:00:00,8682235.527571417,3197289.398662933,3197289.398662933,3197289.398662933,4719203.923719969,761725.7018230347 
 02/03  14:00:00,7202482.267239638,3143544.016284607,3143544.016284607,3143544.016284607,2308813.640941679,1746108.1066478689 
 02/03  15:00:00,5741076.420573842,3152610.4832543777,3152610.4832543777,3152610.4832543777,849292.9683000515,1735156.4656539296 
 02/03  16:00:00,3726724.889107089,3436226.8211706067,3436226.8211706067,3436226.8211706067,283536.12876964617,0.0 
 02/03  17:00:00,6282824.114857802,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,1744652.3909180171 
 02/03  18:00:00,7681397.897718286,5514884.4344747625,5514884.4344747625,5514884.4344747625,377099.7804338202,1768527.865309196 
 02/03  19:00:00,9843467.631029997,5936377.747743254,5936377.747743254,5936377.747743254,1895165.0791683653,1795707.5146182189 
 02/03  20:00:00,11334075.066054352,5860851.394397255,5860851.394397255,5860851.394397255,3452216.2404493624,1801747.3361276654 
 02/03  21:00:00,12442517.092766149,5788324.826793473,5788324.826793473,5788324.826793473,4648111.354928013,1786820.8159645936 
 02/03  22:00:00,12945416.122809257,5275040.848512863,5275040.848512863,5275040.848512863,5691700.440168573,1767009.581775211 
 02/03  23:00:00,13335376.065025037,4175767.1653783405,4175767.1653783405,4175767.1653783405,7225903.566827546,1732482.9892167952 
 02/03  24:00:00,12132432.80362193,3228431.3064444675,3228431.3064444675,3228431.3064444675,8710544.393415038,0.0 
 02/04  01:00:00,12911985.4950171,2498479.0097388276,2498479.0097388276,2498479.0097388276,10223262.584208235,0.0 
 02/04  02:00:00,15114584.091081144,2287908.203727021,2287908.203727021,2287908.203727021,10983292.084018879,1653139.902265205 
 02/04  03:00:00,13395806.435014404,2218387.455766968,2218387.455766968,2218387.455766968,10987175.078177398,0.0 
 02/04  04:00:00,14891905.798138943,2167160.80380385,2167160.80380385,2167160.80380385,12534501.093265057,0.0 
 02/04  05:00:00,16097445.236417174,2326991.86639299,2326991.86639299,2326991.86639299,13575925.19869763,0.0 
 02/04  06:00:00,18951761.927955918,2888368.680950925,2888368.680950925,2888368.680950925,14157037.29225938,1704865.844252221 
 02/04  07:00:00,19651021.797082454,3455726.295687276,3455726.295687276,3455726.295687276,14383063.559106806,1797236.9963905688 
 02/04  08:00:00,19365905.450512417,3804342.957438114,3804342.957438114,3804342.957438114,13711247.182004534,1836926.9665181611 
 02/04  09:00:00,18318464.838399947,3331560.1762823085,3331560.1762823085,3331560.1762823085,13135124.486533092,1845889.3039818415 
 02/04  10:00:00,17480444.59013159,3145052.4172653225,3145052.4172653225,3145052.4172653225,12499758.804311704,1831616.865189079 
 02/04  11:00:00,17009258.346007347,3201316.809840188,3201316.809840188,3201316.809840188,11180159.898911698,2623765.133889982 
 02/04  12:00:00,14927181.21473796,3245056.7517732778,3245056.7517732778,3245056.7517732778,10706061.858130466,972046.1014687334 
 02/04  13:00:00,15471261.98542469,3197289.398662933,3197289.398662933,3197289.398662933,10510824.266349243,1759131.8170470314 
 02/04  14:00:00,14469047.855003199,3143544.016284607,3143544.016284607,3143544.016284607,9575515.092220532,1745972.2431325763 
 02/04  15:00:00,13857818.717994757,3152610.4832543777,3152610.4832543777,3152610.4832543777,8966456.549607733,1734735.181767161 
 02/04  16:00:00,12396309.001679592,3436226.8211706067,3436226.8211706067,3436226.8211706067,8953120.241342148,0.0 
 02/04  17:00:00,14791566.612990197,4368891.063756271,4368891.063756271,4368891.063756271,8663216.417456716,1744464.1858794047 
 02/04  18:00:00,15433020.369890437,5514884.4344747625,5514884.4344747625,5514884.4344747625,8128351.0538143385,1768899.0641008273 
 02/04  19:00:00,16178146.66037545,5936377.747743254,5936377.747743254,5936377.747743254,8229961.135650925,1795590.487481108 
 02/04  20:00:00,16457169.537817802,5860851.394397255,5860851.394397255,5860851.394397255,8575161.371837456,1801896.6765030238 
 02/04  21:00:00,16547477.428733103,5788324.826793473,5788324.826793473,5788324.826793473,8752670.197199678,1787222.3096598827 
 02/04  22:00:00,16375745.32973839,5275040.848512863,5275040.848512863,5275040.848512863,9122160.366175469,1766878.8626974467 
 02/04  23:00:00,16308125.447829565,4175767.1653783405,4175767.1653783405,4175767.1653783405,10198322.322298992,1732813.6165498744 
 02/04  24:00:00,14982585.593095098,3228431.3064444675,3228431.3064444675,3228431.3064444675,11560697.182888206,0.0 
 02/05  01:00:00,15416720.836060755,2498479.0097388276,2498479.0097388276,2498479.0097388276,12727997.925251892,0.0 
 02/05  02:00:00,17542178.113141954,2287908.203727021,2287908.203727021,2287908.203727021,13410722.178901,1653303.829443896 
 02/05  03:00:00,16259126.12964696,2218387.455766968,2218387.455766968,2218387.455766968,13850494.772809956,0.0 
 02/05  04:00:00,15769770.21707924,2167160.80380385,2167160.80380385,2167160.80380385,13412365.512205353,0.0 
 02/05  05:00:00,15593746.34514758,2326991.86639299,2326991.86639299,2326991.86639299,13072226.307428036,0.0 
 02/05  06:00:00,17597714.80006987,2888368.680950925,2888368.680950925,2888368.680950925,12802714.66920342,1705141.3394221386 
 02/05  07:00:00,17861589.78675944,3455726.295687276,3455726.295687276,3455726.295687276,12594026.337129386,1796842.208044976 
 02/05  08:00:00,18562630.645905644,3804342.957438114,3804342.957438114,3804342.957438114,12908272.673576452,1836626.6703394686 
 02/05  09:00:00,18278948.892040152,3331560.1762823085,3331560.1762823085,3331560.1762823085,13096003.036877861,1845494.807277274 
 02/05  10:00:00,17756030.030325007,3145052.4172653225,3145052.4172653225,3145052.4172653225,12775484.148049638,1831476.9616445638 
