Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/18  12:00:00,-4.3,9.02283801663171,-2.6703707731090898,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  13:00:00,-4.008333333333334,9.246600067322431,-2.521163766097093,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  14:00:00,-2.8083333333333336,9.495038841554026,-1.7568788155109525,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  15:00:00,-1.5166666666666666,9.691378110660116,-0.8221447612854127,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  16:00:00,-1.3916666666666666,9.703759360565234,-0.8537130266452416,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  17:00:00,-1.3083333333333336,9.526588226025066,-1.0212620687343794,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  18:00:00,-1.3916666666666666,9.436926473986887,-1.2202462440485002,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  19:00:00,-1.8916666666666666,9.335798192724631,-1.769873220195774,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  20:00:00,-2.4499999999999997,9.105425823939017,-2.354913718275071,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  21:00:00,-2.991666666666667,8.969849920212617,-2.927212067860463,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  22:00:00,-3.5500000000000003,8.810969625177657,-3.461205522215329,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  23:00:00,-4.091666666666667,8.528612116455887,-3.9752846045857635,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  24:00:00,-4.708333333333333,8.320236332489573,-4.569215440004448,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  01:00:00,-5.641666666666667,8.171831063079985,-5.472866542094823,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  02:00:00,-6.391666666666666,7.980480228332877,-6.282169798310072,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  03:00:00,-7.533333333333331,7.7613248180092596,-7.3594581991457195,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  04:00:00,-8.200000000000001,7.43269426777485,-8.21225052918607,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  05:00:00,-8.549999999999999,7.231186988434679,-8.659220253924296,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  06:00:00,-8.450000000000001,7.008918641992545,-8.736516864349747,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  07:00:00,-8.549999999999999,6.7608284124778235,-8.7026201059559,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  08:00:00,-8.450000000000001,7.295432926463469,-8.236166576565644,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  09:00:00,-6.683333333333334,8.757096130968145,-4.145636113080731,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  10:00:00,-4.2,10.040940217942639,1.5958887933904702,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  11:00:00,-1.9750000000000003,11.390612481577298,6.87397507102747,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  12:00:00,-1.0999999999999999,12.61433482636289,13.718783859182821,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  13:00:00,-0.05000000000000008,13.55821835630951,17.772008596331663,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  14:00:00,1.3416666666666668,14.540793174068192,16.167113515621995,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  15:00:00,2.441666666666667,15.452368098733961,11.365272277489773,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  16:00:00,3.483333333333333,16.145782305633023,9.101447024694094,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  17:00:00,3.899999999999999,16.176878127649637,6.601465661303382,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  18:00:00,3.3166666666666664,15.805405776862857,3.992676289755325,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  19:00:00,2.5500000000000003,15.535016102030498,2.5190398305876642,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  20:00:00,0.9583333333333331,15.145737850546872,0.9142272259800631,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  21:00:00,-0.35000000000000003,14.348348601004943,-0.3490856136557961,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  22:00:00,-0.6,13.698980641425313,-0.6908979657019176,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  23:00:00,-1.1833333333333333,13.013215485014243,-1.1533871822435353,0.0,0.0,0.0,0.0,0.0,0.0 
 02/19  24:00:00,-1.5999999999999999,12.507857708516136,-1.730802835330205,0.0,0.0,0.0,0.0,0.0,0.0 
 02/20  01:00:00,-2.533333333333333,16.096844829622963,-0.7553725459623596,44960441.836067416,2519341.8750856025,2519341.8750856025,2519341.8750856025,22450856.05991178,19800000.0 
 02/20  02:00:00,-2.9083333333333337,17.917295573317457,-1.133337873052012,33773189.78074934,2300485.626558334,2300485.626558334,2300485.626558334,22450856.05991178,8831604.193209194 
 02/20  03:00:00,-2.35,18.762224089199606,-0.7882652677459299,24867700.053602282,2226600.0926204654,2226600.0926204654,2226600.0926204654,22450856.05991178,0.0 
 02/20  04:00:00,-2.4499999999999997,19.410233985940017,-0.6193422717398301,24812840.36807589,2171740.4070940726,2171740.4070940726,2171740.4070940726,22450856.05991178,0.0 
 02/20  05:00:00,-3.6333333333333333,19.830452828021496,-1.0245203516282662,24981102.441318754,2335718.210080423,2335718.210080423,2335718.210080423,22450856.05991178,0.0 
 02/20  06:00:00,-4.708333333333333,20.133857581521834,-1.8676051740478499,27275773.131174237,2902111.397117286,2902111.397117286,2902111.397117286,22450856.05991178,1721315.5636517804 
 02/20  07:00:00,-5.0,20.303784431443326,-2.36235056547761,27792774.980536167,3490045.529346395,3490045.529346395,3490045.529346395,22450856.05991178,1836878.4453801874 
 02/20  08:00:00,-3.658333333333333,21.27492009382837,0.370153079886457,28768576.815233007,3872409.4070758065,3872409.4070758065,3872409.4070758065,21945944.590140752,2936834.4734648406 
 02/20  09:00:00,-0.7166666666666668,22.221694423628318,4.9296861918426735,21186330.226691797,3436548.288166884,3436548.288166884,3436548.288166884,15021301.69375547,2722589.3731667404 
 02/20  10:00:00,2.275,22.221227621030632,6.250219053510353,16709110.513133816,3287629.4627914913,3287629.4627914913,3287629.4627914913,11560660.11686269,1856804.430114152 
 02/20  11:00:00,6.258333333333334,22.221833300444626,9.570332334058563,12250898.340095036,3359522.254572048,3359522.254572048,3359522.254572048,7063549.662884843,1823809.919272665 
 02/20  12:00:00,9.291666666666666,22.22181437594668,12.63423468077111,9366311.538361369,3405817.7973429887,3405817.7973429887,3405817.7973429887,4163747.155006555,1792730.0826463425 
 02/20  13:00:00,10.700000000000001,22.221953209667813,14.20787934789861,7876690.320094879,3343416.5845005065,3343416.5845005065,3343416.5845005065,2759027.409578732,1770229.8226501578 
 02/20  14:00:00,12.191666666666665,22.190335063993526,15.09189928404466,5634841.033081201,3277253.218523652,3277253.218523652,3277253.218523652,598156.5071158208,1755414.8040762455 
 02/20  15:00:00,13.191666666666668,22.241921560542668,15.006265320524188,5172880.770243631,3272159.2094632606,3272159.2094632606,3272159.2094632606,154285.71428571438,1742419.343129174 
