Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/03  12:00:00,3889377.8338781632,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,486018.86445368896 
 02/03  13:00:00,4738209.118495641,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1382617.5021815123 
 02/03  14:00:00,5214973.779242742,3143544.016284607,3143544.016284607,3143544.016284607,321919.38971169613,1745493.8698809566 
 02/03  15:00:00,5654907.816279598,3152610.4832543777,3152610.4832543777,3152610.4832543777,763908.5624349229,1734372.2672248157 
 02/03  16:00:00,4230590.852970699,3436226.8211706067,3436226.8211706067,3436226.8211706067,787402.0926332567,0.0 
 02/03  17:00:00,6683270.380352746,4368891.063756271,4368891.063756271,4368891.063756271,555476.6730257738,1743907.6976728998 
 02/03  18:00:00,7709221.663479101,5514884.4344747625,5514884.4344747625,5514884.4344747625,405358.4623711618,1768092.9491326679 
 02/03  19:00:00,8336703.609100068,5936377.747743254,5936377.747743254,5936377.747743254,389235.1530817729,1794873.4187748819 
 02/03  20:00:00,8117252.380576926,5860851.394397255,5860851.394397255,5860851.394397255,235965.41219501838,1801175.4789045842 
 02/03  21:00:00,7948423.71513511,5788324.826793473,5788324.826793473,5788324.826793473,154285.71428571438,1786553.0789758528 
 02/03  22:00:00,7407397.048233283,5275040.848512863,5275040.848512863,5275040.848512863,154285.71428571438,1766405.233082095 
 02/03  23:00:00,6263899.072264056,4175767.1653783405,4175767.1653783405,4175767.1653783405,154285.71428571438,1732623.8489976432 
 02/03  24:00:00,4113007.0496182665,3228431.3064444675,3228431.3064444675,3228431.3064444675,691118.6394113752,0.0 
 02/04  01:00:00,4973556.433379997,2498479.0097388276,2498479.0097388276,2498479.0097388276,2284833.5225711307,0.0 
 02/04  02:00:00,7180780.158887067,2287908.203727021,2287908.203727021,2287908.203727021,3049397.3293551034,1653230.7247349047 
 02/04  03:00:00,5770231.926701694,2218387.455766968,2218387.455766968,2218387.455766968,3361600.569864688,0.0 
 02/04  04:00:00,6121371.354859307,2167160.80380385,2167160.80380385,2167160.80380385,3763966.649985419,0.0 
 02/04  05:00:00,6616258.459409682,2326991.86639299,2326991.86639299,2326991.86639299,4094738.421690139,0.0 
 02/04  06:00:00,8399290.82587218,2888368.680950925,2888368.680950925,2888368.680950925,3604275.0803588713,1705156.9540689937 
 02/04  07:00:00,8372963.100581762,3455726.295687276,3455726.295687276,3455726.295687276,3105366.416865309,1796875.4421313766 
 02/04  08:00:00,6914865.858819811,3804342.957438114,3804342.957438114,3804342.957438114,1260361.8321248489,1836772.72470524 
